steps,values,std_values,n_values
216,121510,121510,0.03993566557826643
217,121116,121116,0.03980617292549845
218,120885,120885,0.03973025210623601
219,121352,121352,0.03988373705253714
220,121104,121104,0.03980222898683547
221,120981,120981,0.03976180361553988
222,121434,121434,0.03991068730006753
223,121482,121482,0.03992646305471947
224,120959,120959,0.03975457306132441
225,120250,120250,0.0395215520186531
226,120451,120451,0.039587612991258084
227,120027,120027,0.03944826049183264
228,120101,120101,0.03947258144692105
229,120336,120336,0.03954981691240449
230,120068,120068,0.03946173561559784
231,120660,120660,0.03965630325630506
232,121113,121113,0.0398051869408327
233,120836,120836,0.039714147690028824
234,119032,119032,0.03912124224436021
235,120314,120314,0.03954258635818902
236,120839,120839,0.03971513367469457
237,119419,119419,0.03924843426624145
238,119979,119979,0.03943248473718071
239,119352,119352,0.03922641394203979
240,120304,120304,0.03953929974263653
241,121130,121130,0.039810774187271934
242,120778,120778,0.0396950853198244
243,119714,119714,0.03934538942503981
244,120123,120123,0.03947981200113652
245,119941,119941,0.03941999559808126
246,118193,118193,0.03884549519950658
247,115868,115868,0.03808135708355341
248,114618,114618,0.037670530139492564
249,116745,116745,0.0383695932675065
250,118564,118564,0.038967428636503834
251,120407,120407,0.03957315188282714
252,120864,120864,0.03972335021357579
253,120986,120986,0.039763446923316126
254,120256,120256,0.039523523987984595
255,120315,120315,0.03954291501974426
256,121086,121086,0.03979631307884099
257,120971,120971,0.03975851699998739
258,120069,120069,0.03946206427715309
259,119541,119541,0.03928853097598179
260,119819,119819,0.03937989888834092
261,119076,119076,0.03913570335279116
262,118812,118812,0.03904893670220551
263,119276,119276,0.03920143566384089
264,119769,119769,0.03936346581057849
265,119493,119493,0.03927275522132985
266,118154,118154,0.03883267739885188
267,118863,118863,0.03906569844152319
268,120452,120452,0.03958794165281333
269,120876,120876,0.03972729415223877
270,121025,121025,0.03977626472397082
271,121290,121290,0.03986336003611172
272,121432,121432,0.039910029976957036
273,121362,121362,0.039887023668089626
274,120165,120165,0.039493615786456965
275,119754,119754,0.03935853588724976
276,120157,120157,0.039490986494014974
277,120981,120981,0.03976180361553988
278,120863,120863,0.03972302155202054
279,120767,120767,0.03969147004271666
280,120633,120633,0.039647429394313344
281,118962,118962,0.0390982359354928
282,119408,119408,0.03924481898913371
283,120609,120609,0.03963954151698738
284,120170,120170,0.0394952590942332
285,120016,120016,0.03944464521472491
286,119445,119445,0.039256979466677916
287,119860,119860,0.03939337401210612
288,119069,119069,0.039133402721904416
289,117811,117811,0.038719946485401585
290,117886,117886,0.03874459610204523
291,117603,117603,0.03865158488190986
292,117049,117049,0.038469506380302096
293,118843,118843,0.03905912521041822
294,119840,119840,0.039386800781001145
295,119186,119186,0.03917185612386851
296,119622,119622,0.03931515256195693
297,118899,118899,0.03907753025751214
298,119699,119699,0.03934045950171108
299,114180,114180,0.037526576378293645
300,101154,101154,0.033245430959624414
301,98119,98119,0.032247943139444686
302,104612,104612,0.03438194261767433
303,115530,115530,0.037970269477879355
304,111175,111175,0.03653894840477138
305,110957,110957,0.03646730018572717
306,117253,117253,0.038536553337572825
307,118514,118514,0.0389509955587414
308,119489,119489,0.03927144057510886
309,118906,118906,0.03907983088839888
310,118039,118039,0.03879488131999828
311,116792,116792,0.03838504036060318
312,117498,117498,0.038617075418608746
313,117591,117591,0.03864764094324687
314,117625,117625,0.03865881543612533
315,119683,119683,0.0393352009168271
316,120846,120846,0.039717434305581306
317,119381,119381,0.039235945127142
318,119119,119119,0.03914983579966685
319,119824,119824,0.03938154219611716
320,118963,118963,0.03909856459704805
321,119360,119360,0.03922904323448178
322,119938,119938,0.03941900961341551
323,118207,118207,0.038850096461280056
324,117166,117166,0.03850795978226619
325,117716,117716,0.03868872363765296
326,118186,118186,0.038843194568619836
327,118061,118061,0.03880211187421375
328,117729,117729,0.03869299623787119
329,117006,117006,0.0384553739334264
330,116672,116672,0.03834560097397334
331,117057,117057,0.03847213567274408
332,118527,118527,0.03895526815895963
333,120695,120695,0.03966780641073876
334,120953,120953,0.03975260109199292
335,120744,120744,0.039683910826945945
336,119847,119847,0.03938910141188788
337,119823,119823,0.039381213534561914
338,120924,120924,0.03974306990689071
339,120760,120760,0.03968916941182992
340,120378,120378,0.03956362069772493
341,120558,120558,0.03962277977766969
342,120143,120143,0.03948638523224149
343,120025,120025,0.039447603168722145
344,120218,120218,0.03951103484888514
345,120650,120650,0.03965301664075257
346,121054,121054,0.03978579590907303
347,121503,121503,0.03993336494737969
348,121399,121399,0.03989918414563383
