steps,values,std_values,n_values
261,5091,5091,0.025771505186906313
262,5082,5082,0.025725945660942426
263,4526,4526,0.02291137939028442
264,3999,3999,0.020243616036621163
265,5253,5253,0.026591576654256308
266,5189,5189,0.026267597802957544
267,4623,4623,0.023402409836784106
268,4172,4172,0.021119371369038135
269,2046,2046,0.01035719890245734
270,2195,2195,0.011111462165637274
271,1695,1695,0.008580377389865685
272,1582,1582,0.008008352230541306
273,1767,1767,0.008944853597576793
274,3120,3120,0.01579396900081471
275,2454,2454,0.012422564079486956
276,2857,2857,0.014462618408758857
277,2151,2151,0.010888726705369374
278,2033,2033,0.010291390698287278
279,1937,1937,0.009805422421339133
280,4353,4353,0.02203562405786745
281,3702,3702,0.01874015167981284
282,3638,3638,0.01841617282851408
283,3309,3309,0.01675071904605637
284,2870,2870,0.014528426612928918
285,4756,4756,0.024075678387139348
286,3165,3165,0.016021766630634156
287,5110,5110,0.025867686408385635
288,5084,5084,0.025736070000045512
289,5611,5611,0.028403833353708767
290,7216,7216,0.036528615483935566
291,7953,7953,0.040259434443422885
292,6634,6634,0.03358243280493744
293,5368,5368,0.027173726152683774
294,3815,3815,0.01931217683913722
295,3416,3416,0.017292371188071493
296,3597,3597,0.018208623876900806
297,3129,3129,0.015839528526778602
298,5204,5204,0.026343530346230694
299,20340,20340,0.10296452867838822
300,16239,16239,0.08220457134750965
301,19069,19069,0.09653051117837684
302,27347,27347,0.13843515072605125
303,15570,15570,0.07881797991752726
304,11725,11725,0.05935393799184375
305,12272,12272,0.062122944736537865
306,8878,8878,0.04494194127860032
307,3764,3764,0.01905400619200852
308,4994,4994,0.025280474740406626
309,3901,3901,0.019747523420569933
310,6604,6604,0.03343056771839114
311,6377,6377,0.03228145523019084
312,7083,7083,0.03585534693358032
313,5901,5901,0.029871862523656287
314,5170,5170,0.026171416581478226
315,4423,4423,0.022389975926475472
316,3036,3036,0.015368746758485085
317,3101,3101,0.015697787779335393
318,2584,2584,0.013080646121187568
319,3799,3799,0.01923118212631253
320,4468,4468,0.022617773556294914
321,4865,4865,0.024627454868257556
322,3913,3913,0.019808269455188453
323,5242,5242,0.026535892789189334
324,6241,6241,0.03159300017118097
325,6536,6536,0.033086340188886204
326,6241,6241,0.03159300017118097
327,6116,6116,0.03096022897723807
328,6804,6804,0.034443001628699774
329,8376,8376,0.04240073216372565
330,6767,6767,0.03425570135529268
331,6897,6897,0.03491378339699329
332,3267,3267,0.01653810792489156
333,3140,3140,0.015895212391845576
334,1868,1868,0.009456132722282655
335,2424,2424,0.01227069899294066
336,3057,3057,0.015475052319067492
337,2778,2778,0.014062707014186946
338,2859,2859,0.014472742747861943
339,3205,3205,0.016224253412695882
340,2568,2568,0.012999651408362877
341,2493,2493,0.01261998869199714
342,2843,2843,0.014391748035037252
343,2725,2725,0.013794412027955156
344,2663,2663,0.01348055751575948
345,3095,3095,0.01566741476202613
346,2224,2224,0.011258265082632026
347,1653,1653,0.008367766268700871
348,2059,2059,0.010423007106627401
349,2061,2061,0.010433131445730487
350,1974,1974,0.009992722694746232
351,2143,2143,0.010848229348957027
352,2017,2017,0.010210395985462587
353,2164,2164,0.010954534909539435
354,1658,1658,0.008393077116458588
355,2114,2114,0.010701426431962277
356,1887,1887,0.009552313943761975
357,1998,1998,0.010114214763983267
358,2207,2207,0.01117220820025579
359,2689,2689,0.013612173924099602
360,2475,2475,0.012528869640069364
361,2691,2691,0.013622298263202689
362,3030,3030,0.015338373741175826
363,2514,2514,0.012726294252579547
364,2318,2318,0.011734109020477085
365,2844,2844,0.014396810204588795
366,2456,2456,0.012432688418590042
367,2847,2847,0.014411996713243424
368,2996,2996,0.015166259976423358
369,2899,2899,0.01467522952992367
370,3396,3396,0.01719112779704063
371,2313,2313,0.011708798172719368
